carrera,codigo_asignatura,nombre_archivo,ruta_archivo,tipo_documento,estado
Ingeniería Civil Industrial,ING120,ING120.pdf,data/carreras/ingenieria_civil_industrial/pdf/programas/ING120.pdf,programa_asignatura,disponible
Ingeniería Civil Industrial,ING102,ING102.pdf,data/carreras/ingenieria_civil_industrial/pdf/programas/ING102.pdf,programa_asignatura,disponible
Ingeniería Civil Industrial,ING103,ING103.pdf,data/carreras/ingenieria_civil_industrial/pdf/programas/ING103.pdf,programa_asignatura,disponible
Ingeniería Civil Industrial,ING110,ING110.pdf,data/carreras/ingenieria_civil_industrial/pdf/programas/ING110.pdf,programa_asignatura,disponible
Ingeniería Civil Industrial,MAT107,MAT107.pdf,data/carreras/ingenieria_civil_industrial/pdf/programas/MAT107.pdf,programa_asignatura,disponible
Ingeniería Civil Industrial,ING400,ING400.pdf,data/carreras/ingenieria_civil_industrial/pdf/programas/ING400.pdf,programa_asignatura,disponible
Ingeniería Civil Industrial,AEA240,AEA240.pdf,data/carreras/ingenieria_civil_industrial/pdf/programas/AEA240.pdf,programa_asignatura,disponible
Ingeniería Civil Industrial,AEA220,AEA220.pdf,data/carreras/ingenieria_civil_industrial/pdf/programas/AEA220.pdf,programa_asignatura,disponible
Ingeniería Civil Industrial,MAT140,MAT140.pdf,data/carreras/ingenieria_civil_industrial/pdf/programas/MAT140.pdf,programa_asignatura,disponible
Ingeniería Civil Industrial,MAT170,MAT170.pdf,data/carreras/ingenieria_civil_industrial/pdf/programas/MAT170.pdf,programa_asignatura,disponible
Ingeniería Civil Industrial,AEA131,AEA131.pdf,data/carreras/ingenieria_civil_industrial/pdf/programas/AEA131.pdf,programa_asignatura,disponible
Ingeniería Civil Industrial,MAT390,MAT390.pdf,data/carreras/ingenieria_civil_industrial/pdf/programas/MAT390.pdf,programa_asignatura,disponible
Ingeniería Civil Industrial,AEA214,AEA214.pdf,data/carreras/ingenieria_civil_industrial/pdf/programas/AEA214.pdf,programa_asignatura,disponible
Ingeniería Civil Industrial,MAT141,MAT141.pdf,data/carreras/ingenieria_civil_industrial/pdf/programas/MAT141.pdf,programa_asignatura,disponible
Ingeniería Civil Industrial,FIS211,FIS211.pdf,data/carreras/ingenieria_civil_industrial/pdf/programas/FIS211.pdf,programa_asignatura,disponible
Ingeniería Civil Industrial,QUI511,QUI511.pdf,data/carreras/ingenieria_civil_industrial/pdf/programas/QUI511.pdf,programa_asignatura,disponible
Ingeniería Civil Industrial,AEA316,AEA316.pdf,data/carreras/ingenieria_civil_industrial/pdf/programas/AEA316.pdf,programa_asignatura,disponible
Ingeniería Civil Industrial,MAT450,MAT450.pdf,data/carreras/ingenieria_civil_industrial/pdf/programas/MAT450.pdf,programa_asignatura,disponible
Ingeniería Civil Industrial,MAT402,MAT402.pdf,data/carreras/ingenieria_civil_industrial/pdf/programas/MAT402.pdf,programa_asignatura,disponible
Ingeniería Civil Industrial,FIS605,FIS605.pdf,data/carreras/ingenieria_civil_industrial/pdf/programas/FIS605.pdf,programa_asignatura,disponible
