codigo_ramo,nombre_ramo,codigo_prerrequisito,nombre_prerrequisito,tipo,fuente_archivo,evidencia_textual,confianza
AUD100,Contabilidad I,,,Sin prerrequisito,documentos/semestre_01/01_AUD100_contabilidad_i.pdf,"Educativa E-SUPPORT Régimen Asignatura DIURNO, VESPERTINO, EXECUTIVE Requisito DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
TDE400,Tec. Comunicación y Habilidades,,,Sin prerrequisito,documentos/semestre_01/01_TDE400_tec_comunicacion_y_habilidades.pdf,19/01/2023 Modalidad Educativa E-SUPPORT Régimen Asignatura EXECUTIVE Requisito DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic,Alta
ACI107,Tecnol. de la Información I,,,Sin prerrequisito,documentos/semestre_01/01_ACI107_tecnol_de_la_informacion_i.pdf,"ON LINE (E-LEARNING) Régimen Asignatura DIURNO, VESPERTINO, EXECUTIVE Requisito DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AEA011,Introducción a los Negocios,,,Sin prerrequisito,documentos/semestre_01/01_AEA011_introduccion_a_los_negocios.pdf,"Modalidad Educativa TRADICIONAL Régimen Asignatura DIURNO, EXECUTIVE Requisito DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
MAT100,Matemática General,,,Sin prerrequisito,documentos/semestre_01/01_MAT100_matematica_general.pdf,/03/2023 Modalidad Educativa TRADICIONAL Régimen Asignatura EXECUTIVE Requisito DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic,Alta
AEA220,Economía,MAT100,Matemática General,Prerrequisito,documentos/semestre_02/02_AEA220_economia.pdf,"Educativa E-SUPPORT Régimen Asignatura DIURNO, VESPERTINO, EXECUTIVE Requisito ( MAT100 o MAT110 o MAT107 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
MAT140,Álgebra I,MAT100,Matemática General,Prerrequisito,documentos/semestre_02/02_MAT140_algebra_i.pdf,"3 Modalidad Educativa E-SUPPORT Régimen Asignatura EXECUTIVE, ON-LINE Requisito ( MAT100 o MAT110 o MAT107 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
LCE001,Inglés I,,,Sin prerrequisito,documentos/semestre_02/02_LCE001_ingles_i.pdf,idad Educativa BLENDED (SEMI-PRESENCIAL) Régimen Asignatura EXECUTIVE Requisito DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic,Alta
AEA240,Emprendimiento y Negocios,,,Sin prerrequisito,documentos/semestre_02/02_AEA240_emprendimiento_y_negocios.pdf,"Educativa E-SUPPORT Régimen Asignatura DIURNO, VESPERTINO, EXECUTIVE Requisito DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AUD222,Contabilidad para la Gestión,AUD100,Contabilidad I,Prerrequisito,documentos/semestre_02/02_AUD222_contabilidad_para_la_gestion.pdf,"dad Educativa E-SUPPORT Régimen Asignatura DIURNO, EXECUTIVE, ON-LINE Requisito AUD100 DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
